מוחמד אבו ניל, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, אדיר לוי
רובי לבקוביץ`, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, אדיר לוי
יואב ג`ראפי, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, אדיר לוי
אמיליוש זובאס, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, אדיר לוי
גד עמוס, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, אדיר לוי
רובי לבקוביץ`, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, מוחמד קמארה
מוחמד אבו ניל, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, מוחמד קמארה
מוחמד אבו ניל, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, בן שהר
גד עמוס, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, מוחמד קמארה
רובי לבקוביץ`, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, בן שהר
גד עמוס, מיגל ויטור, הלדר לופס, רוי רביבו, מאוויס צ`יבוטה, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, ערן זהבי, גיא מלמד
אדלאיי אדבאיו, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, מוחמד קמארה
אמיליוש זובאס, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, מוחמד קמארה
אדלאיי אדבאיו, מיגל ויטור, הלדר לופס, רוי רביבו, מאוויס צ`יבוטה, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, ערן זהבי, גיא מלמד
גד עמוס, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, בן שהר
רובי לבקוביץ`, מיגל ויטור, הלדר לופס, רוי רביבו, מאוויס צ`יבוטה, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, ערן זהבי, גיא מלמד
אמיליוש זובאס, מיגל ויטור, הלדר לופס, רוי רביבו, מאוויס צ`יבוטה, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, ערן זהבי, גיא מלמד
מוחמד אבו ניל, מיגל ויטור, הלדר לופס, רוי רביבו, מאוויס צ`יבוטה, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, ערן זהבי, גיא מלמד
יואב ג`ראפי, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, בן שהר
יואב ג`ראפי, מיגל ויטור, הלדר לופס, רוי רביבו, מאוויס צ`יבוטה, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, ערן זהבי, גיא מלמד
אדלאיי אדבאיו, מיגל ויטור, הלדר לופס, רוי רביבו, פליסיו מילסון, איתן אזולאי, נדב נידם, ירדן שועה, אניס עיאש, גיא מלמד, אדיר לוי
