
Rating 5 (Total Players: 18):
Player: רועי משפתי, Rating: 5, Overall Score: 132.8, Points Score: 22
Player: אמיליוש זובאס, Rating: 5, Overall Score: 126.2, Points Score: 16
Player: מיגל ויטור, Rating: 5, Overall Score: 148.4, Points Score: 31
Player: הלדר לופס, Rating: 5, Overall Score: 126.2, Points Score: 28
Player: רוי רביבו, Rating: 5, Overall Score: 126.0, Points Score: 29
Player: יהב גורפינקל, Rating: 5, Overall Score: 133.2, Points Score: 20
Player: אור בלוריאן, Rating: 5, Overall Score: 126.2, Points Score: 16
Player: דן איינבינדר, Rating: 5, Overall Score: 124.6, Points Score: 17
Player: פליסיו מילסון, Rating: 5, Overall Score: 145.3, Points Score: 31
Player: אנטוניו ספר, Rating: 5, Overall Score: 136.1, Points Score: 26
Player: איתן אזולאי, Rating: 5, Overall Score: 137.6, Points Score: 22
Player: תומר יוספי, Rating: 5, Overall Score: 143.3, Points Score: 28
Player: ירדן שועה, Rating: 5, Overall Score: 148.7, Points Score: 28
Player: סטניסלב בילנקי, Rating: 5, Overall Score: 123.4, Points Score: 18
Player: שלומי אזולאי (חלוץ), Rating: 5, Overall Score: 141.6, Points Score: 28
Player: ערן זהבי, Rating: 5, Overall Score: 153.2, Points Score: 31
Player: עידן טוקלומטי, Rating: 5, Overall Score: 139.5, Points Score: 23
Player: גיא מלמד, Rating: 5, Overall Score: 152.7, Points Score: 28

Rating 4 (Total Players: 35):
Player: גד עמוס, Rating: 4, Overall Score: 103.4, Points Score: 9
Player: מיגל סילבה, Rating: 4, Overall Score: 111.4, Points Score: 10
Player: יואב ג`ראפי, Rating: 4, Overall Score: 113.0, Points Score: 12
Player: סולימאן קוליבאלי, Rating: 4, Overall Score: 106.0, Points Score: 6
Player: אוראל דגני, Rating: 4, Overall Score: 109.6, Points Score: 9
Player: אנריק סאבוריט, Rating: 4, Overall Score: 113.7, Points Score: 19
Player: מוחמד הינדי, Rating: 4, Overall Score: 114.8, Points Score: 20
Player: איאד ח`וטבא, Rating: 4, Overall Score: 105.3, Points Score: 11
Player: ניר ביטון, Rating: 4, Overall Score: 103.8, Points Score: 19
Player: פרנן מאיימבו, Rating: 4, Overall Score: 104.0, Points Score: 7
Player: איבן מאסון, Rating: 4, Overall Score: 105.4, Points Score: 16
Player: אורן ביטון, Rating: 4, Overall Score: 118.4, Points Score: 15
Player: קויה מבאה, Rating: 4, Overall Score: 109.6, Points Score: 8
Player: אופק ביטון, Rating: 4, Overall Score: 117.8, Points Score: 20
Player: חוסה רודריגס, Rating: 4, Overall Score: 111.4, Points Score: 12
Player: רועי שוקרני, Rating: 4, Overall Score: 108.6, Points Score: 10
Player: יוריס ואן אובריים, Rating: 4, Overall Score: 109.3, Points Score: 13
Player: הישאם לאיוס, Rating: 4, Overall Score: 121.3, Points Score: 17
Player: גבי קניקובסקי, Rating: 4, Overall Score: 105.2, Points Score: 16
Player: תמיר גלזר, Rating: 4, Overall Score: 106.7, Points Score: 9
Player: מאור לוי, Rating: 4, Overall Score: 118.1, Points Score: 19
Player: ג`ורדן סבן, Rating: 4, Overall Score: 109.5, Points Score: 9
Player: סאהר תאג`י, Rating: 4, Overall Score: 121.3, Points Score: 18
Player: נאור סבג, Rating: 4, Overall Score: 111.7, Points Score: 10
Player: דן ביטון, Rating: 4, Overall Score: 115.6, Points Score: 22
Player: אופיר קריאף, Rating: 4, Overall Score: 110.4, Points Score: 12
Player: דור פרץ, Rating: 4, Overall Score: 111.8, Points Score: 22
Player: סמי בוראר, Rating: 4, Overall Score: 120.5, Points Score: 13
Player: צ`ארון שרי, Rating: 4, Overall Score: 109.8, Points Score: 20
Player: בוריס אינו, Rating: 4, Overall Score: 111.6, Points Score: 8
Player: אלן אוז`בולט, Rating: 4, Overall Score: 112.9, Points Score: 22
Player: קייס גאנם, Rating: 4, Overall Score: 106.0, Points Score: 14
Player: מוחמד קמארה, Rating: 4, Overall Score: 118.3, Points Score: 14
Player: מארק קוסטה, Rating: 4, Overall Score: 117.7, Points Score: 13
Player: מיירון ג`ורג`, Rating: 4, Overall Score: 104.2, Points Score: 21

Rating 3 (Total Players: 105):
Player: אדלאיי אדבאיו, Rating: 3, Overall Score: 102.2, Points Score: 6
Player: עומר כץ, Rating: 3, Overall Score: 95.8, Points Score: 11
Player: אופיר מרציאנו, Rating: 3, Overall Score: 103.2, Points Score: 16
Player: רובי לבקוביץ`, Rating: 3, Overall Score: 101.8, Points Score: 7
Player: אריאל הרוש, Rating: 3, Overall Score: 101.2, Points Score: 5
Player: ניקולאס האגן, Rating: 3, Overall Score: 81.2, Points Score: 4
Player: אוהד לויטה, Rating: 3, Overall Score: 69.7, Points Score: 1
Player: גיא דזנט, Rating: 3, Overall Score: 64.0, Points Score: 6
Player: בן ביטון, Rating: 3, Overall Score: 79.1, Points Score: 10
Player: גרגורי מורוזוב, Rating: 3, Overall Score: 89.5, Points Score: 11
Player: חסן חילו, Rating: 3, Overall Score: 89.5, Points Score: 5
Player: עמית גלזר, Rating: 3, Overall Score: 69.8, Points Score: 4
Player: מתן גושה, Rating: 3, Overall Score: 78.5, Points Score: 5
Player: נפתלי בלאי, Rating: 3, Overall Score: 57.9, Points Score: 4
Player: רם לוי, Rating: 3, Overall Score: 64.8, Points Score: 7
Player: נמניה ליוביסבלייביץ`, Rating: 3, Overall Score: 98.0, Points Score: 6
Player: הדר פוקס, Rating: 3, Overall Score: 101.6, Points Score: 7
Player: אופק נדיר, Rating: 3, Overall Score: 60.7, Points Score: 4
Player: פייר קורנו, Rating: 3, Overall Score: 82.8, Points Score: 5
Player: שגיב יחזקאל, Rating: 3, Overall Score: 53.9, Points Score: 10
Player: איליה מרטינוביץ`, Rating: 3, Overall Score: 57.0, Points Score: 0
Player: אביב סולומון, Rating: 3, Overall Score: 86.3, Points Score: 14
Player: דיא לבאבידי, Rating: 3, Overall Score: 90.0, Points Score: 7
Player: עידו לוי, Rating: 3, Overall Score: 100.7, Points Score: 8
Player: גיל כהן, Rating: 3, Overall Score: 74.0, Points Score: 0
Player: כארם ג`אבר, Rating: 3, Overall Score: 82.7, Points Score: 7
Player: שחר פיבן, Rating: 3, Overall Score: 77.8, Points Score: 7
Player: אנדרה טישיירה, Rating: 3, Overall Score: 81.4, Points Score: 3
Player: קלארק רוברטסון, Rating: 3, Overall Score: 87.3, Points Score: 10
Player: אונדז`יי באצ`ו, Rating: 3, Overall Score: 60.6, Points Score: 3
Player: אור ישראלוב, Rating: 3, Overall Score: 94.4, Points Score: 13
Player: אלוז` יאו, Rating: 3, Overall Score: 68.1, Points Score: 9
Player: אורי דהן, Rating: 3, Overall Score: 87.7, Points Score: 8
Player: עבדולאי סק, Rating: 3, Overall Score: 92.8, Points Score: 11
